MONTH,STEP_CODE,CNT,QTY
'199803,"[ 9,10)",1,10
'200208,"[ 9,10)",18,171
'200305,"[30,35)",11,357
'200301,"[10,12)",32,345
'200701,"[20,25)","83,245","1,838,959"
'199904,"[ 2, 3)",7,18
'199511,"( 0, 1)",21,4
'199506,"( 0, 1)",21,4
'199902,"( 0, 1)",25,7
'200104,"[50,..)",5,464
'200302,"[18,20)",11,205
'200703,"[12,14)","148,576","1,925,215"
'200011,"[16,18)",4,67
'200203,"[20,25)",10,217
'200105,"[30,35)",7,226
'200003,"[30,35)",5,161
'199707,"[30,35)",2,66
'200111,"[ 8, 9)",4,34
'200801,"[35,40)","5,885","219,300"
'199202,"[ 5, 6)",1,5
'199509,"[ 5, 6)",1,5
'200802,"[ 5, 6)","112,349","617,036"
'199508,"[ 5, 6)",1,6
'200804,"[ 0, 0]","130,521",0
'200202,"[18,20)",5,94
'200811,"[ 2, 3)","114,320","285,424"
'199804,"[12,14)",1,13
'200901,"[50,..)","7,691","1,209,277"
'200810,"[14,16)","113,111","1,690,961"
'200007,"[20,25)",4,86
'200906,"[ 7, 8)","104,384","781,349"
'200912,"[50,..)","7,605","2,100,321"
'200001,"[ 8, 9)",1,9
'200005,"[ 8, 9)",1,9
'199809,"[ 8, 9)",1,8
'199305,"[20,25)",1,22
'199401,"[20,25)",1,22
'199601,"[ 3, 4)",3,10
'200102,"[ 9,10)",1,9
'201011,"[ 1, 2)","115,187","171,659"
'201012,"[ 8, 9)","102,932","873,436"
'201101,"[ 5, 6)","112,449","616,238"
'201103,"[40,45)","2,789","117,942"
'201108,"[25,30)","34,933","949,972"
'201104,"[14,16)","103,232","1,541,398"
'201104,"[16,18)","73,190","1,238,170"
'201111,"( 0, 1)","149,484","77,562"
'199708,"[ 6, 7)",1,6
'201301,"[ 0, 0]","233,521",0
'201203,"[ 4, 5)","115,805","518,849"
'199010,"[ 7, 8)",1,7
'199204,"[ 6, 7)",1,7
'198807,"[ 7, 8)",1,7
'201202,"[12,14)","128,840","1,666,325"
