Date;Steps;CNT;QTY;ZipCode
'200202;[45,50);2;95;18453
'200109;[40,45);3;125;18454
'199712;[12,14);1;14;18531
'199905;[12,14);3;38;18532
'200901;[ 6, 7);10705;695315;18533
'199607;[20,25);2;44;18534
'200903;[ 3, 4);114445;399029;18535
'200912;[ 9,10);99023;938982;18536
'199911;[ 8, 9);1;8;18537
'201002;[30,35);6857;220618;18538
'201003;[ 9,10);103267;980511;18539
'199407;[20,25);1;22;18540
'199301;[ 3, 4);3;10;18541
'199505;[ 3, 4);3;10;18542
'199709;[ 3, 4);2;7;18543
'201007;[ 9,10);92047;872756;18544
'201007;[ 6, 7);104103;674942;18545
'199810;[10,12);1;10;18546
'201012;[ 3, 4);113937;396189;18547
'201103;[18,20);52685;997266;18648
'201110;[35,40);7183;267531;18755
'201109;[50,..);12517;2319132;18756
'200103;[14,16);4;61;18757
'201203;[ 3, 4);116203;404336;18758
'198409;[ 6, 7);1;7;18863
'199409;[ 6, 7);1;7;18883
'201207;[16,18);76655;1298559;18900
'201212;[ 5, 6);111684;612332;18901
'201301;[ 3, 4);114801;401431;18902
'201303;[12,14);140961;1825306;18903
'198103;[ 0, 0];1;0;19001
'198306;[ 0, 0];1;0;19002
'198604;[ 0, 0];1;0;19003
'201402;[ 7, 8);117602;87894;19004
'200512;[10,12);293;3201;19005
'200612;[30,35);9045;290199;19006
'200411;[ 3, 4);74;259;19007
'200512;[ 0, 0];2948;0;19008
'200509;[ 0, 0];2297;0;19009
'200608;[ 5, 6);960;5255;19010
'200605;[14,16);528;7908;19012
'200609;[30,35);383;12349;19013
'200511;[ 8, 9);139;1182;19014
'200604;[ 8, 9);411;3497;19015
'200508;[ 9,10);117;1115;19016
'200308;[ 0, 0];849;0;19019
'200303;[50,..);29;3085;19100
'200501;( 0, 1);333;109;19200
'200410;[18,20);29;546;19300
'200205;[45,50);2;95;19400
'200304;[45,50);3;140;19500
'200406;[45,50);9;425;19600
'200212;( 0, 1);108;32;32003
'200204;[ 3, 4);15;52;32006
'200305;[12,14);39;505;32009
'200405;[ 2, 3);67;171;32010
'200504;[18,20);52;987;32011
'200310;[20,25);42;940;32100
'199511;[ 0, 0];142;0;32200
'200011;[ 0, 0];173;0;33050
'200003;[ 1, 2);9;12;33100
'200107;[25,30);5;133;34100
'199604;[ 0, 0];142;0;18544
'200411;[ 1, 2);90;129;18545
'199610;[25,30);2;53;18546
'199803;[ 9,10);1;10;18547
'200208;[ 9,10);18;171;18648
'200305;[30,35);11;357;18755
'200301;[10,12);32;345;18756
'200701;[20,25);83245;1838959;18757
'199904;[ 2, 3);7;18;18758
'199511;( 0, 1);21;4;18863
'199506;( 0, 1);21;4;18883
'199902;( 0, 1);25;7;18900
'200104;[50,..);5;464;18901
'200302;[18,20);11;205;18902
'200703;[12,14);148576;1925215;18903
'200011;[16,18);4;67;19001
'200203;[20,25);10;217;19002
'200105;[30,35);7;226;19003
'200003;[30,35);5;161;19004
'199707;[30,35);2;66;19005
